timestamp,host,event_id,username,source_ip,process,description
2026-03-12 09:37:00,WIN-FIN-02,4624,helen,34.117.59.81,notepad.exe,An account was successfully logged on
2026-03-12 10:08:00,WIN-ACCT-01,4688,bob,10.0.0.12,explorer.exe,A new process has been created
2026-03-12 10:14:00,WIN-LAB-03,4624,alice,13.107.246.45,teams.exe,An account was successfully logged on
2026-03-12 10:56:00,WIN-FIN-02,4624,admin,142.250.74.78,powershell.exe,An account was successfully logged on
2026-03-12 11:16:00,WIN-LAB-03,4625,bob,81.2.69.142,teams.exe,An account failed to log on
2026-03-12 12:07:00,WIN-FIN-02,4624,bob,151.101.1.69,cmd.exe,An account was successfully logged on
2026-03-12 12:35:00,WIN-LAB-03,4624,george,20.190.160.10,teams.exe,An account was successfully logged on
2026-03-12 12:59:00,WIN-FIN-02,4625,admin,10.0.1.15,explorer.exe,An account failed to log on
2026-03-12 13:50:00,WIN-LAB-03,4624,diana,52.95.120.34,notepad.exe,An account was successfully logged on
2026-03-12 14:00:00,WIN-FIN-02,4625,svc_backup,10.0.0.33,powershell.exe,An account failed to log on
2026-03-12 14:17:00,WIN-FIN-02,4624,edward,10.0.0.12,svchost.exe,An account was successfully logged on
2026-03-12 14:41:00,WIN-FIN-02,4624,charlie,192.168.1.44,notepad.exe,An account was successfully logged on
2026-03-12 14:43:00,WIN-FIN-02,4624,helen,34.117.59.81,powershell.exe,An account was successfully logged on
2026-03-12 14:49:00,WIN-ACCT-01,4688,bob,52.95.120.34,svchost.exe,A new process has been created
2026-03-12 14:53:00,WIN-FIN-02,4624,alice,10.0.0.33,cmd.exe,An account was successfully logged on
2026-03-12 15:00:00,WIN-LAB-03,4624,edward,52.95.120.34,powershell.exe,An account was successfully logged on
2026-03-12 15:10:00,WIN-FIN-02,4624,george,20.190.160.10,powershell.exe,An account was successfully logged on
2026-03-12 15:15:00,WIN-FIN-02,4624,admin,151.101.1.69,explorer.exe,An account was successfully logged on
2026-03-12 15:31:00,WIN-ACCT-01,4625,alice,192.168.1.20,teams.exe,An account failed to log on
